3010.840 Cu I      2000
3033.508 Ar II       50
3036.100 Cu I      2500
3063.410 Cu I      2500
3073.800 Cu I      1400
3093.402 Ar II       50
3093.990 Cu I      1500
3099.930 Cu I      1250
3108.600 Cu I      2000
3194.100 Cu I      1500
3200.370 Ar I         8
3208.230 Cu I      1400
3243.689 Ar II       20
3293.640 Ar II       25
3307.228 Ar II       20
3319.340 Ar I         7
3337.840 Cu I      1500
3350.924 Ar II       25
3373.470 Ar I         7
3376.436 Ar II       25
3388.531 Ar II       25
3393.730 Ar I         7
3461.070 Ar I         7
3476.747 Ar II       70
3478.232 Ar II       20
3491.244 Ar II       50
3491.536 Ar II      100
3509.778 Ar II       70
3514.388 Ar II       70
3524.230 Cu I      1250
3530.380 Cu I      2000
3545.596 Ar II       70
3545.845 Ar II       70
3554.306 Ar I         7
3559.508 Ar II      100
3561.030 Ar II      100
3576.616 Ar II       70
3581.608 Ar II       25
3582.355 Ar II       50
3588.441 Ar II       70
3599.130 Cu I      1400
3602.030 Cu I      1400
3606.522 Ar I         7
3622.138 Ar II       25
3639.833 Ar II       20
3718.206 Ar II       35
3729.309 Ar II       70
3737.889 Ar II       50
3765.270 Ar II      150
3766.119 Ar II       50
3770.369 Ar I        20
3770.520 Ar II       20
3780.840 Ar II       25
3803.172 Ar II       25
3809.456 Ar II       50
3834.679 Ar I         7
3850.581 Ar II       70
3868.528 Ar II       35
3925.719 Ar II       35
3928.623 Ar II       50
3932.547 Ar II       25
3946.097 Ar II       70
3947.505 Ar I         7
3948.979 Ar I        35
3979.356 Ar II       20
3994.792 Ar II       35
4013.857 Ar II       50
4022.630 Cu I      1250
4033.809 Ar II       50
4035.460 Ar II       20
4042.894 Ar II      150
4044.418 Ar I        50
4052.921 Ar II      100
4062.640 Cu I      2000
4072.005 Ar II      200
4072.385 Ar II       70
4076.628 Ar II       25
4079.574 Ar II       35
4082.387 Ar II       25
4103.912 Ar II      150
4131.724 Ar II      300
4156.086 Ar II       35
4158.590 Ar I       400
4164.180 Ar I        50
4179.297 Ar II       35
4181.884 Ar I        50
4190.713 Ar I       100
4191.029 Ar I        50
4198.317 Ar I       200
4200.674 Ar I       400
4218.665 Ar II       25
4222.637 Ar II       25
4226.988 Ar II       25
4228.158 Ar II      100
4237.220 Ar II      100
4251.185 Ar I        25
4259.362 Ar I       200
4266.286 Ar I       100
4266.527 Ar II       70
4272.169 Ar I       150
4275.110 Cu I       950
4277.528 Ar II      550
4282.898 Ar II       20
4300.101 Ar I       100
4300.650 Ar II       25
4309.239 Ar II       70
4331.200 Ar II      200
4332.030 Ar II       50
4333.561 Ar I       100
4335.338 Ar I        50
4345.168 Ar I        25
4348.064 Ar II      800
4352.205 Ar II       50
4362.066 Ar II       25
4367.832 Ar II       50
4370.753 Ar II      200
4371.329 Ar II       70
4375.954 Ar II       50
4379.667 Ar II      150
4385.057 Ar II       50
4400.097 Ar II       70
4400.986 Ar II      200
4426.001 Ar II      400
4430.189 Ar II      150
4430.996 Ar II       50
4433.838 Ar II       50
4439.461 Ar II       20
4448.879 Ar II       35
4474.759 Ar II      100
4481.811 Ar II      200
4510.733 Ar I       100
4522.323 Ar I        20
4530.552 Ar II       20
4545.052 Ar II      400
4564.405 Ar II       20
4579.350 Ar II      400
4589.898 Ar II      400
4596.097 Ar I        15
4609.567 Ar II      550
4628.441 Ar I         7
4637.233 Ar II       35
4651.120 Cu I      2000
4657.901 Ar II      400
4702.316 Ar I        15
4721.591 Ar II       20
4726.868 Ar II      550
4732.053 Ar II       50
4735.906 Ar II      300
4764.865 Ar II      800
4806.020 Ar II      550
4847.810 Ar II      150
4865.910 Ar II       50
4879.864 Ar II      800
4889.042 Ar II       70
4904.752 Ar II       20
4933.209 Ar II       35
4965.080 Ar II      200
5009.334 Ar II       50
5017.163 Ar II       70
5062.037 Ar II       70
5090.495 Ar II       20
5105.540 Cu I      1500
5141.783 Ar II      100
5145.308 Ar II       70
5151.391 Ar I         5
5153.240 Cu I      2000
5162.285 Ar I        15
5165.773 Ar II       25
5187.746 Ar I        20
5216.814 Ar II       20
5218.200 Cu I      2500
5221.271 Ar I         7
5292.520 Cu I      1650
5421.352 Ar I         5
5451.652 Ar I        10
5495.874 Ar I        25
5506.113 Ar I         5
5558.702 Ar I        25
5572.541 Ar I        10
5606.733 Ar I        35
5650.704 Ar I        20
5700.240 Cu I      1500
5739.520 Ar I        10
5782.130 Cu I      1500
5834.263 Ar I         5
5860.310 Ar I        10
5882.624 Ar I        15
5888.584 Ar I        25
5912.085 Ar I        50
5928.813 Ar I        15
5942.669 Ar I         5
5987.302 Ar I         7
5998.999 Ar I         5
6025.150 Ar I         5
6032.127 Ar I        70
6043.223 Ar I        35
6052.723 Ar I        10
6059.372 Ar I        20
6098.803 Ar I         7
6105.635 Ar I        10
6114.923 Ar II      100
6145.441 Ar I        10
6170.174 Ar I         7
6172.278 Ar II      150
6173.096 Ar I        10
6212.503 Ar I        10
6215.938 Ar I         5
6243.120 Ar II       25
6296.872 Ar I         7
6307.657 Ar I        15
6369.575 Ar I         7
6384.717 Ar I        20
6416.307 Ar I        70
6483.082 Ar II       25
6538.112 Ar I        15
6604.853 Ar I        15
6638.221 Ar II       25
6639.740 Ar II       20
6643.698 Ar II       50
6660.676 Ar I         5
6664.051 Ar I         5
6666.359 Ar II       25
6677.282 Ar I       100
6684.293 Ar II       35
6752.834 Ar I       150
6756.163 Ar I         5
6766.612 Ar I        15
6861.269 Ar II       20
6871.289 Ar I       150
6879.582 Ar I         5
6888.174 Ar I        10
6937.664 Ar I        50
6951.478 Ar I         7
6960.250 Ar I         7
6965.431 Ar I     10000
7030.251 Ar I       150
7067.218 Ar I     10000
7068.736 Ar I       100
7107.478 Ar I        25
7125.820 Ar I        25
7147.042 Ar I      1000
7158.839 Ar I        15
7206.980 Ar I        70
7265.172 Ar I        15
7270.664 Ar I         7
7272.936 Ar I      2000
7311.716 Ar I        35
7316.005 Ar I        25
7350.814 Ar I         5
7353.293 Ar I        70
7372.118 Ar I       200
7380.426 Ar II       20
7383.980 Ar I     10000
7392.980 Ar I        20
7412.337 Ar I        15
7425.294 Ar I        10
7435.368 Ar I        25
7436.297 Ar I        10
7503.869 Ar I     20000
7514.652 Ar I     15000
7635.106 Ar I     25000
7723.761 Ar I     15000
7724.207 Ar I     10000
7891.075 Ar I        10
7933.130 Cu I      1500
7948.176 Ar I     20000
8006.157 Ar I     20000
8014.786 Ar I     25000
8053.308 Ar I         7
8092.630 Cu I      2000
8103.693 Ar I     20000
8115.311 Ar I     35000
8264.522 Ar I     10000
8392.270 Ar I        20
8408.210 Ar I     15000
8424.648 Ar I     20000
8521.442 Ar I     15000
8605.776 Ar I         7
8667.944 Ar I      4500
8771.860 Ar II       20
8849.910 Ar I       180
9075.394 Ar I        20
9122.967 Ar I     35000
9194.638 Ar I       550
9224.499 Ar I     15000
9291.531 Ar I       400
9354.220 Ar I      1600
9657.786 Ar I     25000
9784.503 Ar I      4500
